id,enerc_kcal,water,protain,protainb_by_amino,lipid,fantnlea,fasat,fams,fapu,carbohydrate,choavlm,fibsol,fibins,fibtg,ash,ne,k,ca,mg,p,fe,zn,cu,mn,i_d,se,cr,mo,retol,carta,cartb,crypxb,cartbeq,vita_rae,vitd,tocpha,tocphb,tocphg,tocphd,vitk,thiahcl,ribf,nia,vitb6a,vitb12,fol,pantac,biot,vitc,nacl_eq,alc,nitra,thebrn,caffn,tan,polyphent,aceac,food_id
66,163,60,12.7,-11.7,0.8,-0.7,-0.18,-0.07,-0.41,26.2,-,0.2,0.3,0.5,0.3,7,30,13,18,60,1.3,1.8,0.25,1.04,-,-,-,-,0,-,-,-,0,0,0,Tr,0.1,Tr,Tr,0,0.08,0.03,0.5,0.02,0,7,0.12,-,0,0,-,-,-,-,-,-,-,66
67,385,11.3,28.5,26.3,2.7,-2.3,-0.62,-0.24,-1.37,56.9,-,1.1,2.6,3.7,0.6,6,120,33,43,130,3.3,2.2,0.32,-,-,-,-,-,0,-,-,-,0,0,0,0.5,0.4,2.6,2.3,0,0.16,0.07,3.5,0.08,0,16,0.58,-,0,0,-,-,-,-,-,-,-,67
68,379,12.5,25.6,-23.6,3.3,-2.9,-0.76,-0.29,-1.68,57.3,-,1.5,2.3,3.8,1.3,190,220,31,90,220,4.9,2.9,0.49,1.54,-,-,-,-,0,-,-,-,0,0,0,0.6,0.5,0.6,0.6,0,0.2,0.08,3.6,0.16,0,22,0.79,-,0,0.5,-,-,-,-,-,-,-,68
69,387,11.4,30.2,-27.8,3.4,-2.9,-0.78,-0.3,-1.73,54.2,-,1.1,1.5,2.6,0.8,110,130,25,53,130,4.2,2.7,0.42,1.23,-,-,-,-,0,-,-,-,0,0,0,0.4,0.4,0,0,0,0.12,0.07,2.9,0.07,0,11,0.47,-,0,0.3,-,-,-,-,-,-,-,69
70,426,3.6,32,25.9,11.6,10.4,1.84,1.65,6.5,48.3,29.6,0.7,13.6,14.3,4.5,3,1100,42,310,1100,9.4,15.9,0.89,-,-,-,-,-,0,0,61,4,63,5,0,28.3,10.8,0,0,2,1.82,0.71,4.2,1.24,0,390,1.34,-,0,0,-,-,-,-,-,-,-,70
71,437,6.5,72,69.7,9.7,-6.7,-1.34,-0.82,-4.25,10.6,-,0.5,1.9,2.4,1.2,60,90,75,75,180,6.6,5,0.75,2.67,-,-,-,-,0,-,-,-,12,1,0,1.1,1.1,0,0,0,0.03,0.12,3.5,0.1,0,34,0.61,-,0,0.2,-,-,-,-,-,-,-,71
72,111,76,20,-19.4,2,-1.4,-0.28,-0.17,-0.88,1.8,-,0,0.4,0.4,0.2,36,3,14,16,54,1.8,1.4,0.22,0.62,-,-,-,-,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.02,0.01,1.2,0.01,0,5,0,-,0,0.1,-,-,-,-,-,-,-,72
73,159,66,25,-24.2,4.1,-2.8,-0.57,-0.35,-1.8,3.9,-,0,0.5,0.5,1,230,39,30,54,160,3,2.4,0.36,1.57,-,-,-,-,0,0,6,0,6,1,0,1.7,1.1,0.4,0.1,0,0.2,0.03,2.7,0.04,0,17,0.45,-,0,0.6,-,-,-,-,-,-,-,73
74,291,32,9.3,-8.4,1.4,-1.2,-0.32,-0.13,-0.71,57,-60.4,1,1.2,2.2,0.3,2,64,16,18,60,0.8,0.6,0.12,0.28,-,-,-,-,0,-,-,-,0,0,0,0.2,0.2,0,0,0,0.08,0.04,0.7,0.06,0,12,0.61,-,0,0,-,-,-,-,-,-,-,74
75,295,31.1,8.3,-7.5,1.4,-1.2,-0.32,-0.13,-0.71,58.9,-61.2,1,1.2,2.2,0.3,2,72,16,17,60,0.6,0.5,0.1,0.28,-,-,-,-,0,-,-,-,0,0,0,0.2,0.1,0,0,0,0.09,0.04,0.6,0.05,0,9,0.5,-,0,0,-,-,-,-,-,-,-,75
