id,name,nutritive_id
341,りょくとう　全粒　ゆで　　　,341
342,レンズまめ　全粒　乾　　　,342
343,レンズまめ　全粒　ゆで　　　,343
344,アーモンド　乾　　　,344
345,アーモンド　フライ 味付け　　　,345
346,アーモンド　いり　無塩　　　,346
347,あさ　乾　　　,347
348,あまに　いり　,348
349,えごま　乾　　　,349
350,カシューナッツ　フライ　味付け　　　,350
351,かぼちゃ　いり　味付け　　　,351
352,かや　いり　　　,352
353,ぎんなん　生　　　,353
354,ぎんなん　ゆで　　　,354
355,（くり類）　日本ぐり　生　　,355
356,（くり類）　日本ぐり　ゆで　　,356
357,（くり類）　日本ぐり　甘露煮　　,357
358,（くり類）　中国ぐり　甘ぐり　　,358
359,くるみ　いり　　　,359
360,けし　乾　　　,360
361,ココナッツ　ココナッツパウダー　　　　,361
362,ごま　乾　　　,362
363,ごま　いり　　　,363
364,ごま　むき　　　,364
365,ごま　ねり　　　,365
366,しい　生　　　,366
367,すいか　いり　味付け　　　,367
368,とち　蒸し　　　,368
369,はす　未熟　生　　　,369
370,はす　成熟　乾　　　,370
371,はす　成熟　ゆで　　　,371
372,ひし　生　　　,372
373,ピスタチオ　いり　味付け　　　,373
374,ひまわり　フライ　味付け　　　,374
376,ブラジルナッツ　フライ　味付け　　　,376
377,ヘーゼルナッツ　フライ　味付け　　　,377
379,ペカン　フライ　味付け　　　,379
380,マカダミアナッツ　いり　味付け　　　,380
381,まつ　生　　　,381
382,まつ　いり　　　,382
383,らっかせい　乾　大粒種　　,383
384,らっかせい　乾　小粒種　　,384
385,らっかせい　いり　大粒種　　,385
386,らっかせい　いり　小粒種　　,386
387,らっかせい　バターピーナッツ　　　,387
388,らっかせい　ピーナッツバター　　　,388
389,アーティチョーク　花らい　生　　　,389
390,アーティチョーク　花らい　ゆで　　　,390
391,あさつき　葉　生　　　,391
392,あさつき　葉　ゆで　　　,392
393,あしたば　茎葉　生　　　,393
394,あしたば　茎葉　ゆで　　　,394
395,アスパラガス　若茎　生　　　,395
396,アスパラガス　若茎　ゆで　　　,396
397,アスパラガス　若茎　油いため　　　,397
398,アスパラガス　水煮缶詰　　　,398
399,アロエ　葉　生　　　,399
400,いんげんまめ　さやいんげん　若ざや　生　　,400
401,いんげんまめ　さやいんげん　若ざや　ゆで　　,401
402,（うど類）　うど　茎　生　　,402
403,（うど類）　うど　茎　水さらし　　,403
404,（うど類）　やまうど　茎　生　　,404
405,えだまめ　生　　　,405
406,えだまめ　ゆで　　　,406
407,えだまめ　冷凍　　　,407
408,エンダイブ　葉　生　　　,408
409,（えんどう類）　トウミョウ　茎葉　生　　,409
410,（えんどう類）　トウミョウ　芽ばえ　生　　,410
411,（えんどう類）　トウミョウ　芽ばえ　ゆで　　,411
