id,name
539,（たいさい類）　たいさい　葉　生　　
540,（たいさい類）　たいさい　塩漬　　
541,たかな　葉　生　　　
542,たかな　たかな漬　　　
543,たけのこ　若茎　生　　　
544,たけのこ　若茎　ゆで　　　
545,たけのこ　水煮缶詰　　　
546,たけのこ　めんま　塩蔵　塩抜き　　　
547,（たまねぎ類）　たまねぎ　りん茎　生　　
548,（たまねぎ類）　たまねぎ　りん茎　水さらし　　
549,（たまねぎ類）　たまねぎ　りん茎　ゆで　　
550,（たまねぎ類）　たまねぎ　りん茎　油いため　　
551,（たまねぎ類）　赤たまねぎ　りん茎　生　　
552,（たまねぎ類）　葉たまねぎ　りん茎及び葉　生　　
553,たらのめ　若芽　生　　　
554,たらのめ　若芽　ゆで　　　
555,チコリ　若芽　生　　　
556,チンゲンサイ　葉　生　　　
557,チンゲンサイ　葉　ゆで　　　
558,チンゲンサイ　葉　油いため　　　
559,つくし　胞子茎　生　　　
560,つくし　胞子茎　ゆで　　　
561,つるな　茎葉　生　　　
562,つるむらさき　茎葉　生　　　
563,つるむらさき　茎葉　ゆで　　　
564,つわぶき　葉柄　生　　　
565,つわぶき　葉柄　ゆで　　　
566,とうがらし　葉･果実　生　　　
567,とうがらし　葉･果実　油いため　　　
568,とうがらし　果実　生　　　
569,とうがらし　果実　乾　　　
570,とうがん　果実　生　　　
571,とうがん　果実　ゆで　　　
572,（とうもろこし類）　スイートコーン　未熟種子　生　　
573,（とうもろこし類）　スイートコーン　未熟種子　ゆで　　
574,（とうもろこし類）　スイートコーン　未熟種子　電子レンジ調理　　
575,（とうもろこし類）　スイートコーン　未熟種子　穂軸つき　冷凍　　
576,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　　
577,（とうもろこし類）　スイートコーン　缶詰　クリームスタイル　
578,（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル　
579,（とうもろこし類）　ヤングコーン　幼雌穂　生　　
580,（トマト類）　トマト　果実　生　　
581,（トマト類）　ミニトマト　果実　生　　
582,（トマト類）　缶詰　ホール　食塩無添加　
